turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,beaver,ant,fish,empty,empty,0,0,0.5
2,beaver,ant,fish,pig,duck,1,0,1
3,beaver,ant,fish,pig,duck,1,1,0
4,beaver,ant,fish,pig,duck,1,2,0
5,beaver,ant,fish,pig,duck,1,3,0
6,beaver,ant,fish,pig,duck,1,4,0
1,otter,horse,beaver,empty,empty,0,1,0
2,otter,horse,beaver,beaver,horse,0,2,0
3,otter,horse,beaver,beaver,horse,0,3,0
4,otter,horse,beaver,beaver,horse,0,4,0
1,pig,ant,fish,empty,empty,0,0,0.5
2,pig,ant,fish,mosquito,fish,0,0,0.5
3,pig,ant,fish,mosquito,fish,1,0,1
4,pig,ant,fish,mosquito,fish,1,1,0
5,pig,ant,fish,mosquito,fish,1,1,0.5
6,pig,ant,fish,mosquito,fish,1,2,0
7,pig,ant,fish,mosquito,fish,1,3,0
8,pig,ant,fish,mosquito,fish,1,4,0
